Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R45,470,R_0603_1608Metric,209.188732,-10.661169,282,bottom
R46,470,R_0603_1608Metric,203.828733,-31.271177,282,bottom
R47,470,R_0603_1608Metric,212.448736,-48.921177,282,bottom
R48,470,R_0603_1608Metric,207.088733,-69.531175,282,bottom
R49,470,R_0603_1608Metric,227.822732,-6.700181,282,bottom
R50,470,R_0603_1608Metric,222.462733,-27.310175,282,bottom
R51,470,R_0603_1608Metric,231.082733,-46.240003,270,bottom
R52,470,R_0603_1608Metric,225.722733,-65.570173,282,bottom
R53,470,R_0603_1608Metric,230.532738,-85.560177,282,bottom
R54,470,R_0603_1608Metric,247.195999,-6.000002,270,bottom
R55,470,R_0603_1608Metric,241.836001,-26.13001,270,bottom
R56,470,R_0603_1608Metric,250.456002,-46.24001,270,bottom
R57,470,R_0603_1608Metric,245.128,-65.29,270,bottom
R58,470,R_0603_1608Metric,265.825996,-8.140003,270,bottom
R59,470,R_0603_1608Metric,260.465994,-27.190005,270,bottom
R60,470,R_0603_1608Metric,269.506,-46.240006,270,bottom
R61,470,R_0603_1608Metric,264.145992,-65.290004,270,bottom
R62,470,R_0603_1608Metric,293.900996,-8.137185,270,bottom
R63,470,R_0603_1608Metric,279.515995,-27.190003,270,bottom
R64,470,R_0603_1608Metric,289.150372,-65.289996,90,bottom
R65,470,R_0603_1608Metric,308.188495,-6.887186,90,bottom
R66,470,R_0603_1608Metric,303.336,-27.190009,270,bottom
R67,470,R_0603_1608Metric,300.455997,-44.990002,90,bottom
R68,470,R_0603_1608Metric,301.47269,-62.778903,180,bottom
R69,470,R_0603_1608Metric,308.091997,-84.388007,270,bottom
R70,470,R_0603_1608Metric,143.730247,-80.367631,90,bottom
R71,10k,R_0603_1608Metric,146.517544,-79.317631,180,bottom
R72,5.1k,R_0603_1608Metric,147.352322,3.0988,0,bottom
R73,5.1k,R_0603_1608Metric,155.42838,3.0988,180,bottom
U1,STM32F103CBTx,LQFP-48_7x7mm_P0.5mm,146.530501,-56.123006,90,bottom
U2,XC6206P332MR,SOT-23,140.895408,-31.641353,90,bottom
U3,SRV05-4,SOT-23-6,151.139998,-0.699998,90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-jlc,151.139999,15.418553,0,bottom
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,148.046526,-67.121222,0,bottom
